CLIP.ID,CAM,DATE.TIME,EVENT.ID,TYPE,FAF.PRIMANDSEC,SEX
5,R,17/04/2011 06:03,F1.774,I,0,F
8,C,09/03/2012 04:56,F1.588,I,2,M
12,C,30/03/2014 05:29,F1.16,I,0,M
23,R,09/04/2014 01:33,F1.38,U,21,M
28,C,23/02/2011 23:19,F1.871,I,5,M
39,C,18/04/2011 05:51,F1.779,I,11,M
47,C,18/03/2012 19:08,F1.593,O,0,F
52,C,10/11/2013 21:04,F1.376,I,1,M
55,R,17/04/2011 20:08,F1.774,O,3,F
58,C,10/03/2012 23:23,F1.590,O,4,M
60,C,16/03/2014 01:50,F1.218,I,17,F
65,C,14/04/2015 23:14,F1.1809,O,4,F
72,C,29/03/2014 19:49,F1.15,O,0,F
74,C,27/01/2013 05:58,F1.489,I,3,F
77,R,21/02/2011 08:32,F1.1014,I,2,M
79,C,06/03/2014 06:10,F1.170,I,0,F
88,C,10/03/2011 01:25,F1.849,O,11,F
90,C,07/03/2013 05:29,F1.1670,I,3,F
96,C,13/09/2012 21:10,F1.675,O,2,M
108,C,20/01/2015 17:27,F1.1752,O,0,M
110,R,01/04/2014 21:00,F1.21,I,12,M
114,C,09/06/2012 16:34,F1.646,U,9,F
116,C,20/03/2015 05:52,F1.1774,I,2,F
122,R,20/02/2014 12:08,F1.258,I,19,F
125,C,19/03/2011 06:16,F1.822,I,5,F
132,R,26/01/2011 18:47,F1.929,O,7,M
133,C,11/12/2013 07:30,F1.340,I,1,F
139,C,19/12/2013 10:43,F1.348,O,4,F
142,C,20/03/2014 18:26,F1.230,O,1,M
154,C,23/04/2013 04:11,F1.439,O,5,F
167,C,11/04/2011 02:02,F1.813,I,6,F
171,C,28/04/2015 19:12,F1.1832,O,0,M
173,R,11/03/2011 06:14,F1.856,I,3,F
181,R,24/02/2015 23:32,F1.1711,I,5,F
184,C,21/08/2012 22:06,F1.668,I,2,F
189,C,25/01/2015 05:59,F1.1761,I,0,M
200,C,04/05/2013 19:08,F1.454,O,16,F
,C,24/02/2013 06:52,F1.1654,O,0,M
,C,02/05/2013 03:28,F1.452,O,1,M
,C,08/02/2012 05:32,,O,6,M
,C,09/02/2013 05:23,F1.506,I,8,M
,R,18/05/2013 04:42,F1.407,I,12,NAM
,R,13/06/2012 02:55,F1.649,I,1,F
,C,26/03/2014 05:46,F1.07,I,2,M
,R,11/04/2011 20:30,F1.814,O,3,M
,C,06/03/2014 06:28,F1.171,I,1,M
,R,16/02/2013 18:11,F1.508,O,8,F
,C,25/01/2014 23:44,F1.119,I,1,M
,C,14/12/2014 01:04,F1.711,NA,9,M
,R,10/02/2014 20:00,F1.139,I,6,M
,R,01/02/2013 06:23,F1.492,I,8,M
,R,24/12/2013 19:05,F1.314,I,15,M
,R,20/02/2011 18:39,F1.1005,O,9,M
,C,24/01/2014 04:47,F1.116,O,2,M
,C,27/01/2013 22:20,F1.491,O,2,M
,R,13/03/2013 17:32,F1.1678,O,2,NAM
,C,06/03/2014 01:05,F1.167,O,13,F
,C,01/04/2014 04:59,F1.18,O,4,M
,C,21/02/2014 01:23,F1.261,O,30,F
